index,Fei,Yixin,Kpu,text
8571,1,1,0,"disappointing prince vaults found to contain 37,000 hours of billy joel covers"
6331,0,0,0,sacred sites
21243,1,1,1,attending 'price is right' taping apparently sailors' best idea for shore leave
12185,1,1,1,mugger can't believe crap victim has on mp3 player
21271,0,0,0,study finds majority of non-shark-related fears completely unjustified
9268,1,1,1,dump trumpers think they need just 57 votes to win
17262,0,0,0,one pot wonders: 7 delicious dinners without the mess
8529,0,0,0,u.s. army deserter bowe bergdahl faces life in prison as sentencing hearing begins
24300,1,1,0,report: 94% of south dakotans unprepared for mt. rushmore faces coming alive and eating everyone
23247,0,0,0,bts just became the first k-pop band to go gold
24276,1,1,1,"100% of teenagers huge fucking assholes,' confirms study by sobbing, red-faced scientists"
22823,0,0,1,super fan attends screening of 'infinity war' dressed as marvel's vp of marketing
24253,0,0,0,michael b. jordan responds to trolls saying a black man can't play johnny storm
1016,1,1,1,nation not about to start giving a shit about canadian politics
25851,0,0,0,a guide to sex at 50 and beyond
7629,0,0,0,what the new superbug means for the fight against antibiotic resistance
11534,1,1,0,why carly fiorina's presidential run makes sense -- and is pure folly
995,1,1,0,prison warden vows to take away el chapo's tunnel privileges if captured
26557,1,1,1,environmentalists say they're averting climate disaster. conservatives say it's terrorism.
4297,0,0,0,"despite regional differences, women across the globe face same career advancement challenges"
161,1,0,0,creating leverage where none seems to exist
5675,0,0,0,sweat-stain-dating technology unlocks age of assistant managers
6873,1,1,0,"doctor, patient have wildly different definitions of word 'hope'"
12990,0,0,0,the true meaning of the ray rice scandal
9692,1,1,1,peer group forces man to have opinion on 'weird al'
7989,0,1,1,white house begins christmas season with ceremonial lighting of cross
20227,1,1,1,vicious carnivorous animals painted on baby's crib
13417,1,1,1,trump brags that he won most of the women's vote in 2016. he didn't.
10805,1,1,1,joe wilson getting bored with no-longer-covert wife
11653,1,1,0,nyc officials assure public most puddles of bodily fluid on streets not contaminated with ebola
1021,0,0,0,ryan seacrest sells 'squad goals' series to cbs
19457,0,0,0,"the dea is rushing to criminalize another herb, and congress is silent"
23939,1,1,0,wal-mart shoppers mocked by target shopper
3943,1,0,1,real valentines for exhausted parents
1585,1,1,0,report: many jobs lack benefits to cut
26531,0,0,0,the 10 best cities to throw a pool party
3152,0,0,0,a time capsule of us
14541,1,1,1,of course hair stylist remembers gina
8226,1,1,1,arby's ceo arrested with trunk full of stolen horsey sauce
12206,0,1,1,rick santorum suggests planned parenthood is just as racist as the confederate flag
17159,1,1,1,roommates still don't know each other well enough to not speak
15787,0,0,0,pope francis' silent response to the filipino girl: what he might have been thinking
26054,0,0,0,enda: the nightmare scenario in which gopers push a bad bill that gay groups dropped
23483,1,1,1,expense-account wizard transforms prostitute into color copies
